Code	Unit of Measure	Definition
A1	15 C Calorie	
AL	Access Line	
ACR	Acre	
26	Actual Ton	
AH	Additional Minute	
MD	Air Dry Metric Ton	
ASM	Alcoholic Strength By Mass	
ASU	Alcoholic Strength By Volume	
AP	Aluminium Pound Only	
AMP	Ampere	
AMH	Ampere Hour	A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one hour.
A2	Ampere Per Centimetre	
AE	Ampere Per Metre	
A3	Ampere Per Millimetre	
A4	Ampere Per Square Centimetre	
A41	Ampere Per Square Metre	
A6	Ampere Per Square Metre Kelvin Squared	
A7	Ampere Per Square Millimetre	
A8	Ampere Second	
A5	Ampere Square Metre	
A10	Ampere Square Metre Per Joule Second	
73	Ampere Tum Per Centimetre	
AM	Ampoule	
A11	Angstrom	A unit of length equal to one hundred-millionth of a centimetre, 10–10 metre, used mainly to express wavelengths and interatomic distances.
AXU	Anti XA Unit	A unit of measure for blood potency. Units for the anti XA activity which is a measure to the anti coagulating effect at low molecular heparins.
AQ	Anti-Hemophilic Factor (Ahf) Unit	
ARE	Are	
AY	Assembly	
AS	Assortment	A unit of count defining the number of assortments (assortment: set of items grouped in a mixed collection).
A12	Astronomical Unit	
D43	Atomic Mass Units (AMU)	
A13	Attojoule	
AI	Average Minute Per Call	
BG	Bag	
BL	Bale	
AA	Ball	
D92	Band	
BR	Bar	The bar is widely used in descriptions of pressure; 1 bar = 100 kilopascals 0.987 atmospheres.
BAR	Bar (unit of pressure)	The bar is widely used in descriptions of pressure; 1 bar = 100 kilopascals 0.987 atmospheres.
NB	Barge	
A14	Barn	
A15	Barn Per Electron Volt	
A16	Barn Per Steradian Electron Volt,	
A17	Barn Per Sterdian	
B1	Barrel (Us) Per Day	
5A	Barrel Per Minute	
BLL	Barrel US	There are varying standards for barrel for some specific commodities, including 31 gal for beer, 40 gal for whiskey or kerosene, and 42 gal for petroleum. The general standard for liquids is 31.5 gal or half a hogshead; the general standard for dry contents is 7,056 Cubic Inches.
B4	Barrel, Imperial	
BB	Base box	A unit of area of 112 sheets of tin mil products (tin plate, tin free steel or black plate) 14 by 20 inches, or 31,360 square inches.
BW	Base Weight	
BK	Basket	
5B	Batch	
B9	Batt	
B3	Batting Pound	
D79	Beam	
BPM	Beats Per Minute	
BQL	Becquerel	The SI derived unit of radioactivity. One Bq is defined as the activity of a quantity of radioactive material in which one nucleus decays per second. SI uses the becquerel rather than the second for the unit of activity measure to avoid dangerous mistakes: a measurement in becquerels is proportional to activity, and thus a more dangerous source of radiation gives a higher reading. A measurement in seconds is inversely proportional.
A18	Becquerel Per Kilogram	
A19	Becquerel Per Metre Cubed	
E2	Belt	
B5	Billet	
2W	Bin	
B10	Bit per second	In telecommunications and computing, bitrate (sometimes written bit rate, data rate or as a variable R or fb) is the number of bits that are conveyed or processed per unit of time.The bit rate is quantified using the bits per second (bit/s or bps) unit.
D64	Block	
BD	Board	
BFT	Board Foot	A specialized unit of measure for the volume of rough lumber (before drying and planing with no adjustments) or planed/surfaced lumber. It is the volume of a one-foot length of a board one foot wide and one inch thick. Some countries utilize the synonym super foot or superficial foot.
4A	Bobbin	
BT	Bolt	
D63	Book	A unit of count defining the number of books (book: set of items bound together or written document of a material whole).
BO	Bottle	
BX	Box	
BHP	Brake Horse Power	
BTU	British thermal unit	A traditional unit of energy. It is approximately the amount of energy needed to heat one pound of water one degree Fahrenheit. One Btu is equal to about 1.06 kilojoules. It is used in the power, steam generation, heating and air conditioning industries.
2I	British Thermal Unit Per Hour	
A23	British Thermal Unit Per Hour Square Foot Degree Rankin	
AZ	British Thermal Unit Per Pound	
A21	British Thermal Unit Per Pound Degree Rankin	
A22	British Thermal Unit Per Second Foot Degree Rankin	
A20	British Thermal Unit Per Second Square Foot Degree Rankin	
BH	Brush	
B0	Btu Per Cubic Foot	
BJ	Bucket	
VQ	Bulk	
48	Bulk Car Load	
AB	Bulk Pack	
B6	Bun	
BE	Bundle	
B2	Bunk	
BUI	Bushel (UK)	A bushel is an imperial and U.S. customary unit of dry volume, equivalent in each of these systems to 4 pecks or 8 gallons. It is used for volumes of dry commodities (not liquids), most often in agriculture
BUA	Bushel (US)	A bushel is an imperial and U.S. customary unit of dry volume, equivalent in each of these systems to 4 pecks or 8 gallons. It is used for volumes of dry commodities (not liquids), most often in agriculture
AD	Byte	
1D	Caboose Count	
1H	Caboose Mile	
KA	Cake	
C0	Call	
D70	Calorie	A calorie is 1/100 of the amount of energy required to warm one gram of air-free water from 0 °C to 100 °C at standard atmospheric pressure; this is about 4.190 J. Its use is archaic, having been replaced by the SI unit of energy, the joule. However, in many countries it remains in common use as a unit of food energy. In the context of nutrition, and especially food labelling, the calorie is approximately equal to 4.1868 joules (J), and energy values are normally quoted in kilojoules (kJ) and kilocalories (kcal). This code is being deprecated. Use code E14 Kilocalorie to express food calories.
92	Calorie - Calorie Per Cubic Centimetre	
93	Calorie Per Gram	
CA	Can	
CDL	Candela	
A24	Candela per Square Metre	
4B	Cap	
AV	Capsule	
NC	Car	
1B	Car Count	
1A	Car Mile	
CO	Carboy	
CG	Card	A unit of count defining the number of units of card (card: thick stiff paper or cardboard).
C4	Carload	
CCT	Carrying Capacity In Metric Ton	
C2	Carset	
CT	Carton	
CQ	Cartridge	
CS	Case	
Z3	Cask	
D66	Cassette	
31	Catch Weight	
C6	Cell	
CNT	Cental (Uk)	
CGM	Centigram	A centigram is one hundredth (1/100) of a gram
CLT	Centilitre	A centilitre is one hundredth (1/100) of a litre
CMT	Centimetre	A centimetre is equal to one hundredth of a metre.
2M	Centimetre Per Second	
C7	Centipoise	
X_CHD	Centisimal Hahnemannian Dilution (CH)	
4C	Centistokes	
X1	Chain	
Z2	Chest	
A25	Cheval Vapeur	
CL	Coil	
C9	Coil Group	
CFU	Colony Forming Units	
II	Column Inch	
CZ	Combo	
C1	Composite Product Pound (Total Weight)	
CJ	Cone	
Z6	Conference Point	
CK	Connector	
CH	Container	
HN	Conventional Millimetre Of Mercury	Conventional millimetre of mercury mm Hg.
HP	Conventional Millimetre Of Water	
AJ	Cop	
WCD	Cord	
C5	Cost	
COU	Coulomb	
A26	Coulomb Metre	
A27	Coulomb Metre Squared Per Volt	
A28	Coulomb Per Cubic Centimetre	
A29	Coulomb Per Cubic Metre	
A30	Coulomb Per Cubic Millimetre	
CKG	Coulomb Per Kilogram	
A31	Coulomb Per Kilogram Second	
A32	Coulomb Per Mole	
A33	Coulomb Per Square Centimetre	
A34	Coulomb Per Square Metre	
A35	Coulomb Per Square Millimetre	
1N	Count	Count
IT	Count Per Centimetre	
IC	Count Per Inch	
5K	Count Per Minute	
CV	Cover	
CR	Crate	
CMQ	Cubic centimetre	A cubic centimetre is the volume of a cube of side length one centimetre (0.01 m) equal to a millilitre.
A36	Cubic Centimetre Per Mole	
2J	Cubic Centimetre Per Second	
DMQ	Cubic decimetre	A cubic decimetre is the volume of a cube of side length one decimetre (0.1 m)
A37	Cubic Decimetre Per Mole	
36	Cubic Feet Per Minute Per Square Foot	
FTQ	Cubic foot	A cubic foot is the volume of a cube of side length one foot (0.3048 m) .
2K	Cubic Foot Per Hour	
2L	Cubic Foot Per Minute	
INQ	Cubic inch	A cubic inch is the volume of a cube of side length one inch (0.254 m).
MTQ	Cubic metre	A cubic metre is the volume of a cube of side length one metre.
D90	Cubic Metre (Net)	
A38	Cubic Metre Per Coulomb	
MQH	Cubic Metre Per Hour	Cubic Metre Per Hour
A39	Cubic Metre Per Kilogram	
A40	Cubic Metre Per Mole	
MQS	Cubic Metre Per Second	
MMQ	Cubic millimetre	A cubic millimetre is the volume of a cube of side length one milliimetre (0.001 m)
YDQ	Cubic Yard	
CU	Cup	
G21	Cup (US)	Cup (US)
CUR	Curie	
A42	Curie Per Kilogram	
94	Curl Unit	
B7	Cycle	
CY	Cylinder	
DQ	Data Record	
DAY	Days	A day is one three hundreds and sixty fifth (1/365) of a year
A43	Deadweight Tonnage	A unit of mass defining the difference between the weight of a ship when completely empty and its weight when completely loaded, expressed as the number of tons.
DE	Deal	
DEC	Decade	
DJ	Decagram	
A44	Decalitre	
A45	Decametre	
DAA	Decare	
X_DBA	Decibar	
2N	Decibel	A measurement for sound in air and other gases, relative to 20 micropascals (μPa) = 2×10−5 Pa, the quietest sound a human can hear. This is roughly the sound of a mosquito flying 3 metres away. This is often abbreviated to just "dB"; however the correct abbreviation is dB(SPL), indicating decibel for Sound Pressure Level.
DG	Decigram	A decigram is one tenth (1/10) of a gram.
DLT	Decilitre	A decilitre is one tenth (1/10) of a litre.
22	Decilitre Per Gram	
DMT	Decimetre	A decimetre is equal to one tenth of a metre.
DN	Decinewton Metre	
A47	Decitex	
DTN	Decitonne	
DD	Degree (Unit of Angel)	A measurement of plane angle, representing 1⁄360 of a full rotation; one degree is equivalent to π/180 radians.
CEL	Degree Celsius	Celsius (also historically known as centigrade) is a temperature scale, the freezing point of water is 0 degrees Celsius (°C) and the boiling point 100 °C (at standard atmospheric pressure), placing the boiling and freezing points of water exactly 100 degrees apart.
FAH	Degree Fahrenheit	The Fahrenheit temperature scale, the freezing point of water is 32 degrees Fahrenheit (°F) and the boiling point 212 °F (at standard atmospheric pressure), placing the boiling and freezing points of water exactly 180 degrees apart.
A48	Degree Rankin	
A49	Denier	
DY	Directory Book	
DC	Disk (Disc)	
DI	Dispenser	
DPT	Displacement Tonnage	
DS	Display	
D67	Dollar Per Hour	
E27	Dose	A unit of count defining the number of doses (dose: a definite quantity of a medicine or drug).
E39	Dots per inch	A unit of count defining the number of dots per linear inch as a measure of the resolution or sharpness of a graphic image.
DZN	Dozen	A unit of count defining the number of units in multiples of 12.
DZP	Dozen Pack	
DPR	Dozen Pair	
DPC	Dozen Piece	
DRL	Dozen Roll	
DRM	Drachm (Uk)	
D8	Draize Score	
DRI	Dram (UK)	The dram (archaic spelling drachm) was historically both a coin and a weight. Currently it is both a small mass in the Apothecaries' system of weights and a small unit of volume. This unit is called more correctly fluid dram or in contraction also fluidram. The fluid dram is defined as 1⁄8 of a fluid ounce, which means it is exactly equal to 3.551 632 812 500 0 mL in the Commonwealth and Ireland. In England dram came to mean a small draught of cordial or alcohol; hence the term dram-house for the taverns where one could purchase a dram.
DRA	Dram (US)	The dram (archaic spelling drachm) was historically both a coin and a weight. Currently it is both a small mass in the Apothecaries' system of weights and a small unit of volume. This unit is called more correctly fluid dram or in contraction also fluidram. The term also refers to the fluid dram, a measure of capacity equal 1⁄8 of a fluid ounce, which means it is exactly equal to 3.696 691 195 312 5 mL in the United States.
DR	Drum	
BLD	Dry Barrel (Us)	
GLD	Dry Gallon (Us)	
PTD	Dry Pint (US)	The United States dry pint is equal one eighth of a US dry gallon or one half US dry quarts. It is used in the United States but is not as common as the liquid pint.
DB	Dry Pound	
DT	Dry Ton	
A50	Dyn Second Per Cubic Centimetre	
DU	Dyne	
DX	Dyne Per Centimetre	
D9	Dyne Per Square Centimeter	
A51	Dyne Second Per Centimetre	
A52	Dyne Second Per Centimetre To The Fifth	
EA	Each	A unit of count defining the number of items regarded as separate units.
EC	Each Per Month	
P8	Eight Pack	
EB	Electronic Mail Box	
A53	Electronvolt	
A54	Electronvolt Per Metre	
A55	Electronvolt Square Metre	
A56	Electronvolt Square Metre Per Kilogram	
EP	Eleven Pack	
ELU	ELISA Units	Enzyme-linked immunosorbent assay unit, is always associated with a product and a method.
1E	Empty Car	
EV	Envelope	
EQ	Equivalent Gallon	
A57	Erg	
A58	Erg Per Centimetre	
A60	Erg Per Cubic Centimetre	
A61	Erg Per Gram	
A62	Erg Per Gram Second	
A63	Erg Per Second	
A64	Erg Per Second Square Centimetre	
A65	Erg Per Square Centimetre Second	
A66	Erg Square Centimetre	
A67	Erg Square Centimetre Per Gram	
A68	Exajoule	
63	Failure Rate In Time	
FAR	Farad	
A69	Farad Per Metre	
AK	Fathom	
A70	Femtojoule	
Q32	Femtolitre	
A71	Femtometre	
F9	Fibre Per Cubic Centimetre Of Air	
FB	Field	
98	Fifteen Kg Drum	
47	Fifty Lb Bag	
46	Fifty Lb Bulk Bag	
18	Fiftyfive Gallon (Us) Drum	
P5	Five Pack	
44	Fivehundred Kg Bulk Bag	
1I	Fixed Rate	
FL	Flake Ton	
OZI	Fluid ounce (UK)	A fluid ounce (UK) is equal to one thirtieth (1/30) of a UK pint or 28.4130625 millilitres.
OZA	Fluid ounce (US)	A fluid ounce (US) is equal to one sixteenth (1/16) of a US pint or 29.5735295625 millilitres .
FOT	Foot	The international foot is defined to be equal to 0.3048 meters.
FR	Foot Per Minute	
FS	Foot Per Second	
A73	Foot Per Second Squared	
85	Foot Pound-Force	
A74	Foot Pound-Force Per Second	
21	Forty Foot Container	
P4	Four Pack	
A75	Freight Ton	
H79	French gauge	The French scale (most correctly abbreviated as Fr, but also often abbreviated as FR or F) is commonly used to measure the catheter size (Circumference is in millimeters), in which 1 Fr = 0.33 mm in diameter. In the French Gauge system as it is also known, the diameter in millimeters of the catheter can be determined by dividing the French size by 3, thus an increasing French size corresponds with a larger diameter catheter. The following equations summarize the relationships: D(mm) = Fr/3 or Fr = D(mm)*3
1G	Fuel Usage Gallon (Us)	
GZ	Gage System	
A76	Gal	
GLI	Gallon (UK)	The imperial (UK) gallon was legally defined as 4.54609 litres.
GLL	Gallon (US)	The U.S. liquid gallon is legally defined as 231 cubic inches, and is equal to exactly 3.785411784 litres or about 0.133680555 cubic feet.
GB	Gallon (Us) Per Day	
GW	Gallon Per Thousand Cubic Feet	
5C	Gallon(Us) Per Thousand	A number referring to the outer diameter of hypodermic or suture needles. Smaller gauge numbers indicate larger outer diameters. Inner diameter depends on both gauge and wall thickness. An increasing needle-gauge size corresponds to a smaller diameter needle. This is contrary to French Gauge where an increasing gauge size corresponds to a larger external diameter.
AWG	Gauge	
76	Gauss	
A77	Gaussian Cgs Unit Of Displacement	
A78	Gaussian Cgs Unit Of Electic Current	
A79	Gaussian Cgs Unit Of Electric Charge	
A80	Gaussian Cgs Unit Of Electric Field Strength	
A81	Gaussian Cgs Unit Of Electric Polarization	
A82	Gaussian Cgs Unit Of Electric Potential	
A83	Gaussian Cgs Unit Of Magnetization	
GBQ	Gigabecquerel	
E34	Gigabyte	
A84	Gigacoulomb Per Cubic Metre	
A85	Gigaelectronvolt	
A86	Gigahertz	
GV	Gigajoule	
A87	Gigaohm	
A88	Gigaohm Metre	
A89	Gigapascal	
A90	Gigawatt	
GWH	Gigawatt hour	
GII	Gill (Uk)	
GIA	Gill (Us)	
A91	Gon	
GRN	Grain	A grain or troy grain is precisely 64.79891 milligrams. Exactly 7,000 grains per avoirdupois pound.
GRM	Gram	One one-thousandth of the kilogram (1×10-3 kg).
GFI	Gram Of Fissile Isotope	
GC	Gram Per 100 Gram	
A93	Gram Per Cubic Metre	
F27	Gram Per Hour	
GK	Gram Per Kilogram	
GL	Gram Per Litre	A unit of measurement of mass concentration that shows how many grams of a certain substance are present in one litre.
GF	Gram Per Metre (Gram Per 100 Centimetres)	
GJ	Gram Per Millilitre	
A94	Gram Per Mole	
25	Gram Per Square Centimetre	
GM	Gram per square metre	In the metric system, the density of all types of paper, paperboard, and fabric, is expressed in terms of grams per square meter (g/m2).This quantity is commonly called grammage both in English and French (ISO 536), though many English- speaking countries still refer to the "weight". The term density here is used somewhat incorrectly, as density is mass by volume. More precisely, it is a measure of the area density, areal density, or surface density.
23	Grams Per Cubic Centimetre	Grams Per Cubic Centimetre
A95	Gray	
A96	Gray Per Second	
GGR	Great Gross	
GRO	Gross	A unit of count defining the number of units in multiples of 144 (12 x 12).
GD	Gross Barrel	
GN	Gross Gallon	
E4	Gross kilogram	A unit of mass defining the total number of kilograms before deductions.
GRT	Gross Register Ton	
GT	Gross Ton	
GY	Gross Yard	
10	Group	
HD	Half dozen	A unit of count defining the number of units in multiplt of six (6).
GH	Half Gallon (Us)	
HT	Half Hour	
H2	Half Litre	
H1	Half Page	
PV	Half Pint (Us)	
SAN	Half Year (6 Months)	
HA	Hank	
8	Heat Lot	
D55	Heat Transfer Coefficient	
HAR	Hectare	
HBA	Hectobar	
HGM	Hectogram	A hectogram is one hundred (100) grams
HLT	Hectolitre	A hectolitre is one hundred (100) litres.
HPA	Hectolitre Of Pure Alcohol	
HMT	Hectometre	
A97	Hectopascal	
81	Henry	
A98	Henry Per Metre	
HTZ	Hertz	
HEP	Histamine Equivalent Prick	Histamine equivalent prick testing for allergen.
Z4	Hogshead	
30	Horse Power Day Per Air Dry Metric Ton	
HUR	Hour	An hour is a unit of measurement of time of the duration of 60 minutes, or 3600 seconds. It is 1/24 of a median Earth day.
CEN	Hundred	
BP	Hundred board foot	A unit of volume equal to one hundred board foot.
HBX	Hundred Boxe	
HC	Hundred count	A unit of count defining the number of units counted in multiples of 100.
HH	Hundred Cubic Feet	
FF	Hundred Cubic Metre	
HF	Hundred Feet	
HL	Hundred Feet (Linear)	
16	Hundred Fifteen Kg Drum	
HIU	Hundred International Unit	
HK	Hundred Kilogram	
17	Hundred Lb Drum	
CLF	Hundred Leave	
YL	Hundred Linear Yard	
CNP	Hundred Pack	
CWA	Hundred pound (cwt) / hundred weight (US)	A unit of weight in the U.S. Customary System equal to 100 pounds (45.36 kilograms); also called cental.
HI	Hundred Sheet	
HS	Hundred Square Feet	
HO	Hundred Troy Ounce	
CWI	Hundred weight (UK)	A unit of weight in the British Imperial System equal to 112 pounds (50.80 kilograms); also called quintal.
HY	Hundred Yard	
HE	Hundredth Of A Carat	
5J	Hydraulic Horse Power	
G3	Imperial Gallon Per Minute	
IM	Impression	
IL	Inch Per Minute	
IU	Inch Per Second (Linear Speed)	
IV	Inch Per Second Squared (Acceleration)	
IA	Inch Pound (Pound Inch)	
D69	Inch To The Fourth Power	
INH	Inches	An international inch is defined to be equal to 25.4 millimeters.
IF	Inches Of Water	
IP	Insurance Policy	
D75	International Table (It) Calorie Per Gram	
D76	International Table (It) Calorie Per Gram Kelvin	
D71	International Table (It) Calorie Per Second Centimetre Kelvin	
D72	International Table (It) Calorie Per Second Square Centimetre Kelvin	
JR	Jar	
JO	Joint	
JOU	Joule	
B8	Joule Per Cubic Metre	
D95	Joule Per Gram	
JE	Joule Per Kelvin	
J2	Joule Per Kilogram	
B11	Joule Per Kilogram Kelvin	
B12	Joule Per Metre	
B14	Joule Per Metre To The Fourth Power	
B15	Joule Per Mole	
B16	Joule Per Mole Kelvin	
B13	Joule Per Square Metre	
B18	Joule Second	
D73	Joule Square Metre	
B20	Joule Square Metre Per Kilogram	
JG	Jug	
JB	Jumbo	
KIU	Kallikrein inactivator unit.	
KG	Keg	
KEL	Kelvin	A unit of absolute temperature equal to 1/273.16 of the absolute temperature of the triple point of water. One kelvin degree is equal to one Celsius degree.
B21	Kelvin Per Watt	
2Q	Kilo Becquerel	
B22	Kiloampere	
TAH	Kiloampere Hour (Thousand Ampere Hour)	
B24	Kiloampere Per Metre	
B23	Kiloampere Per Square Metre	
KBA	Kilobar	
B25	Kilobecquerel Per Kilogram	
2P	Kilobyte	
E14	Kilocalorie (international table)	
KB	Kilocharacter	
B26	Kilocoulomb	
B27	Kilocoulomb Per Cubic Metre	
B28	Kilocoulomb Per Square Metre	
2R	Kilocurie	
B29	Kiloelectronvolt	
78	Kilogauss	
KGM	Kilogram	A unit of mass equal to one thousand grams.
KD	Kilogram Decimal	
B31	Kilogram Metre Per Second	
B32	Kilogram Metre Squared	
B33	Kilogram Metre Squared Per Second	
KNS	Kilogram Named Substance	
KNI	Kilogram Of Nitrogen	
KPP	Kilogram Of Phosphorus Pentoxide (Phosphoric Anhydride)	
KPH	Kilogram Of Potassium Hydroxide (Caustic Potash)	
KPO	Kilogram Of Potassium Oxide	
KSH	Kilogram Of Sodium Hydroxide (Caustic Soda)	
KSD	Kilogram Of Substance 90 % Dry	
KUR	Kilogram Of Uranium	
32	Kilogram Per Air Dry Metric Ton	
B34	Kilogram Per Cubic Decimetre	
KMQ	Kilogram Per Cubic Metre	
3H	Kilogram Per Kilogram Of Product	
B35	Kilogram Per Litre	
KL	Kilogram Per Metre	
KI	Kilogram Per Millimetre Width	
D74	Kilogram Per Mole	
3I	Kilogram Per Piece Of Product	
KGS	Kilogram Per Second	Kilogram drained net weight
D5	Kilogram per square centimetre	A kilogram-force per square centimeter (kgf/cm2), often just kilogram per square centimeter (kg/cm2), or kilopond per square centimeter is a unit of pressure using metric units. Its use is now deprecated; it is not a part of the International System of Units (SI), the modern metric system. The unit is similar to the English unit psi (lbf/in2).
28	Kilogram per square metre	A unit of pressure equal to 9.80665*10-05 Bar
B37	Kilogram-Force	
B38	Kilogram-Force Metre	
B39	Kilogram-Force Metre Per Second	
B40	Kilogram-Force Per Square Metre	
KW	Kilograms Per Millimeter	
KHZ	Kilohertz	
KJO	Kilojoule	
B41	Kilojoule Per Kelvin	
B42	Kilojoule Per Kilogram	
B43	Kilojoule Per Kilogram Kelvin	
B44	Kilojoule Per Mole	
K6	Kilolitre	
4X	Kilolitre Per Hour	
KMT	Kilometre	A kilometre is one thousand (1000) metres
KTM	Kilometre	
KMH	Kilometre Per Hour	
B45	Kilomole	
B46	Kilomole Per Cubic Metre	
B47	Kilonewton	
B48	Kilonewton Metre	
KNM	Kilonewton Per Square Metre	Kilonewton Per Square Metre
B49	Kiloohm	
B50	Kiloohm Metre	
KF	Kilopacket	
KPA	Kilopascal	
33	Kilopascal Square Metres Per Gram	
34	Kilopascals Per Millimetre	
B51	Kilopond	
84	Kilopound Per Square Inch	
KR	Kiloröntgen	
B52	Kilosecond	
KJ	Kilosegment	
B53	Kilosiemens	
B54	Kilosiemens Per Metre	
KTN	Kilotonne	
KVR	Kilovar	
KVA	Kilovolt	
KVT	Kilovolt	
K5	Kilovolt Ampere (Reactive)	
K2	Kilovolt Ampere Reactive Demand	
K3	Kilovolt Ampere Reactive Hour	
B55	Kilovolt Per Metre	
KWT	Kilowatt	A kilowatt is one thousand (1000) watts
K1	Kilowatt Demand	
KWH	Kilowatt hour	
B56	Kiloweber Per Metre	
KT	Kit	A unit of count defining the number of kits (kit: tub, barrel or pail).
KNT	Knot	
X_KVN	Korsakovian (K)	
LH	Labour Hour	
LJ	Large Spray	
LR	Layer	A unit of count defining the number of layers.
LEF	Leaf	
LN	Length	
5	Lift	
Z1	Lift Van	
B57	Light Year	
LC	Linear Centimetre	
