Code	Unit of Measure	Definition
LF	Linear foot	A unit of count defining the number of feet (12-inch) in length of a uniform width object.
LI	Linear Inch	
LM	Linear metre	A unit of count defining the number of metres in length of a uniform width object.
LY	Linear Yard	
LX	Linear Yard Per Pound	
LK	Link	A unit of distance equal to 0.01 chain.
PTL	Liquid pint (US)	The US liquid pint is equal one eighth of a United States liquid gallon.
LP	Liquid Pound	
QTL	Liquid quart (US)	A US liquid quart exactly equals 57.75 cubic inches, which is exactly equal to 0.946352946 litres.
LE	Lite	A litre is defined as a special name for a cubic decimetre (1 L = 1 dm3 = 1000 cm3).
LTR	Litre	
LPA	Litre Of Pure Alcohol	Litre of pure alcohol
LD	Litre Per Day	
E32	Litre Per Hour	Litre Per Hour
L2	Litre Per Minute	
B58	Litre Per Mole	
NL	Load	
1C	Locomotive Count	
1K	Locomotive Mile	
LO	Lot	
Z5	Lug	
LUM	Lumen	Lumen is a measure of the total quantity of visible light emitted by a light source.
B59	Lumen Hour	
B61	Lumen Per Watt	
B62	Lumen Second	Lumen seconds is the SI derived unit of luminous energy. It is based on the lumen, the SI unit of luminous flux, and the second, the SI base unit of time. The lumen second is sometimes called the Talbot (symbol T).
B60	Lumens per Square Meter	
LS	Lump Sum	
LUX	Lux	
B63	Lux Hour	
B64	Lux Second	
MA	Machine Per Unit	
M0	Magnetic Tape	
3C	Manmonth	
D98	Mass Pound	
MT	Mat	
B65	Maxwell	
Q3	Meal	
MAL	Mega Litre	
B66	Megaampere Per Square Metre	
4N	Megabecquerel	106 Bq1 Bq is defined as the activity of a quantity of radioactive material in which one nucleus decays per second.
B67	Megabecquerel Per Kilogram	
4L	Megabyte	A unit of information equal to 10 (1000000) bytes.
D77	Megacoulomb	
B69	Megacoulomb Per Cubic Metre	
B70	Megacoulomb Per Square Metre	
B71	Megaelectronvolt	
2U	Megagram	
B72	Megagram Per Cubic Metre	
2V	Megagram Per Hour	
MHZ	Megahertz	A unit of frenquecy equal to 106 Hertz
3B	Megajoule	
JM	Megajoule Per Cubic Metre	
JK	Megajoule Per Kilogram	
MAM	Megametre	
B73	Meganewton	
B74	Meganewton Metre	
B75	Megaohm	
B76	Megaohm Metre	
MPA	Megapascal	
B77	Megasiemens Per Metre	
B78	Megavolt	
MVA	Megavolt – Ampere	
B79	Megavolt Per Metre	
MAW	Megawatt	A unit of power defining the rate of energy transferred or consumed when a current of 1000 amperes flows due to a potential of 1000 volts at unity power factor.
MWH	Megawatt hour (1000 kW.h)	A unit of energy defining the total amount of bulk energy transferred or consumed.
57	Mesh	
NF	Message	
NH	Message Hour	
MTR	Metre	The metre is the basic unit of length in the International System of Units (SI).
D18	Metre Kelvin	
2X	Metre Per Minute	
MTS	Metre Per Second	
MSK	Metre Per Second Squared	
B83	Metre To The Fourth Power	
CTM	Metric Carat	Metric Carat
HJ	Metric Horse Power	
E5	Metric Long Ton	
NQ	Mho	
B84	Microampere	
B85	Microbar	
B86	Microcoulomb	
B87	Microcoulomb Per Cubic Metre	
B88	Microcoulomb Per Square Metre	
M5	Microcurie	
4O	Microfarad	
B89	Microfarad Per Metre	
G7	Microfiche Sheet	
MC	Microgram	A microgram is one millionth of a gram (0.000001)
GQ	Microgram Per Cubic Meter	
B90	Microhenry	
B91	Microhenry Per Metre	
M7	Micro-Inch	
4G	Microlitre	A microlitre is one millionth of a litre
4H	Micrometre	A micrometre is one millionth of a metre, also termed Micron.
NR	Micromho	
FH	Micromole	
B92	Micronewton	
B93	Micronewton Metre	
B94	Microohm	
B95	Microohm Metre	
B96	Micropascal	
B97	Microradian	
B98	Microsecond	
B99	Microsiemens	
D81	Microtesla	
D82	Microvolt	
C3	Microvolt Per Metre	
D80	Microwatt	
D85	Microwatt Per Square Metre	
SMI	Mile (statute mile)	
HM	Mile Per Hour	
X_MLM	Millesimai (LM)	
4K	Milliampere	
E09	Milliampere hour	
MLD	Milliard	
MBR	Millibar	
D86	Millicoulomb	
D88	Millicoulomb Per Cubic Metre	
C8	Millicoulomb Per Kilogram	
D89	Millicoulomb Per Square Metre	
MCU	Millicurie	
MEQ	Milliequivalents	
C10	Millifarad	
C11	Milligal	
MGM	Milligram	A milligram is one thousandth of a gram (0.001)
GP	Milligram Per Cubic Metre	
4M	Milligram Per Hour	
NA	Milligram Per Kilogram	Milligram per Kilogram (mg/kg)
C12	Milligram Per Metre	
MF	Milligram Per Square Foot Per Side	
MK	Milligram Per Square Inch	
M1	Milligrams Per Litre	
GO	Milligrams Per Square Metre	
C13	Milligray	
C14	Millihenry	
77	Milli-Inch	
C15	Millijoule	
MLT	Millilitre	A millilitre is one thousandth of a litre (0.001)
WW	Millilitre Of Water	
KX	Millilitre Per Kilogram	
41	Millilitre Per Minute	
40	Millilitre Per Second	
35	Millilitres Per Square Centimetre Second	
MMT	Millimetre	A millimetre is one thousandth of a metre (0.001)
C16	Millimetre Per Second	
C17	Millimetre Squared Per Second	
C18	Millimole	a millimole is one thousandth of a mole.
D87	Millimole Per Kilogram	
C20	Millinewton	
D83	Millinewton Metre	
C22	Millinewton Per Metre	
C23	Milliohm Metre	
MIO	Million	
M9	Million Btu Per 1000 Cubic Feet	
BZ	Million Btus	
FM	Million Cubic Feet	
HMQ	Million Cubic Metre	
MIU	Million International Unit (NIE)	A unit of count defining the number of international units in multiples of 106.
FD	Million Particle Per Cubic Foot	
UM	Million Unit	
74	Millipascal	
C24	Millipascal Second	
C25	Milliradian	
2Y	Milliröntgen	
C26	Millisecond	A thousandth (1/1000) of a second.
C27	Millisiemens	
C28	Millisievert	
C29	Millitesla	
2Z	Millivolt	
D49	Millivolt Per Kelvin	
C30	Millivolt Per Metre	
C31	Milliwatt	
C32	Milliwatt Per Square Metre	
C33	Milliweber	
D61	Minute	
MIN	Minute (unit of time)	
5E	Mmscf/Day	
C34	Mole	The SI base unit of amount of substance; one of a few units used to measure this physical quantity.A mole will possess mass exactly equal to the substance's molecular or atomic weight in grams. That is to say, a substance's atomic or molecular mass in atomic mass units is the same as its molar mass in grams. Because of this, one can measure the number of moles in a pure substance by weighing it and comparing the result to its molecular or atomic weight
C35	Mole Per Cubic Decimetre	
C36	Mole Per Cubic Metre	
C19	Mole Per Kilogram	
C38	Mole Per Litre	
M4	Monetary Value	
MON	Month	Unit of time equal to 1/12 of a year of 365,25 days
MPN	Most Probable Number	Most Probable Number: is a method of getting quantitative data on concentrations of discrete items from positive/negative (incidence) data..
X_MTC	Mother tincture (Dry material)	
ZZ	Mutually Defined	
C39	Nanoampere	
C40	Nanocoulomb	
C41	Nanofarad	
C42	Nanofarad Per Metre	
X_NGM	Nanogram	
C43	Nanohenry	
C44	Nanohenry Per Metre	
Q34	Nanolitre	The metric unit of volume equal to one billionth of a litre, which can be represented numerically as 0.000000001/liter.
C45	Nanometre	A billionth of a metre (10 to the negative 9th power)
C46	Nanoohm Metre	
C47	Nanosecond	
C48	Nanotesla	
C49	Nanowatt	
NMI	Nautical Mile	
C50	Neper	
C51	Neper Per Second	
ND	Net Barrel	
NG	Net Gallon (Us)	
NI	Net Imperial Gallon	
58	Net kilogram	A unit of mass defining the total number of kilograms after deductions.
NE	Net Litre	
NTT	Net Register Ton	
NT	Net Ton	
Z8	Newspage Agate Line	
NEW	Newton	
NU	Newton Metre	
C53	Newton Metre Second	
C54	Newton Metre Squared Kilogram Squared	
4P	Newton Per Metre	
C55	Newton Per Square Metre	
C56	Newton Per Square Millimetre	
C57	Newton Second	
C58	Newton Second Per Metre	
P9	Nine Pack	
NAR	Number Of Articles	
NBB	Number Of Bobbins	
NCL	Number Of Cells	
NIU	Number of International Units	
N2	Number Of Lines	
MV	Number Of Mults	
NMP	Number Of Packs	
NPR	Number Of Pairs	Number of pairs
NPL	Number Of Parcels	
NPT	Number Of Parts	
NRL	Number Of Rolls	
NJ	Number Of Screens	
C59	Octave	
66	Oersted	
OHM	Ohm	
C60	Ohm Centimetre	
C61	Ohm Metre	
C62	One	
OPM	Oscillations Per Minute	
ONZ	Ounce	A unit of mass with several definitions, the most commonly used of which are equal to approximately 30 grams
OZ	Ounce Av	
4R	Ounce Foot	
4Q	Ounce Inch	
37	Ounce Per Square Foot	
38	Ounces Per Square Foot Per 0,01 Inch	
ON	Ounces per square yard	The weight of one square yard of the material expressed in ounces. Commonly used to express the density or weight of all types of paper, paperboard, and fabric, e.g. 20 OZ or 20 Weight denim has an area density of 20 oz/yd2.The term density here is used somewhat incorrectly, as density is mass by volume. More precisely, it is a measure of the area density, areal density, or surface density.
11	Outfit	
OT	Overtime Hour	
PK	Package	
PA	Packet	
PD	Pad	A unit of count defining the number of pads (pad: block of paper sheets fastened together at one end).
ZP	Page	
P0	Page - Electronic	
QA	Page - Facsimile	
QB	Page - hardcopy	A unit of count defining the number of hardcopy pages (hardcopy page: a page rendered as printed or written output on paper, film, or other permanent medium).
PQ	Page Per Inch	
PL	Pail	
PR	Pair	A unit of count defining the number of pairs (pair: item described by two's).
PB	Pair Inch	
PF	Pallet (Lift)	
D97	Pallet/Unit Load	
OA	Panel	
C63	Parsec	
61	Part Per Billion (Us)	
59	Part per million	A unit of proportion equal to 10-6 (ppm).
NX	Part Per Thousand	
PAL	Pascal	
C64	Pascal Per Kelvin	
C65	Pascal Second	
C66	Pascal Second Per Cubic Metre	
C67	Pascal Second Per Metre	
G23	Peck	A peck is an imperial and U.S. customary unit of dry volume, equivalent in each of these systems to 2 gallons, 8 dry quarts, or 16 dry pints.
PZ	Peck Dry (Uk)	
PY	Peck Dry (Us)	A peck is an imperial and U.S. customary unit of dry volume, equivalent in each of these systems to 2 gallons, 8 dry quarts, or 16 dry pints.
N1	Pen Calorie	
D23	Pen Gram (Protein)	
DWT	Pennyweight	A pennyweight (abbreviated dwt or denarius weight) is a unit of mass that is equal to 24 grains, 1⁄20 of a troy ounce, 1⁄240 of a troy pound, and exactly 1.55517384 grams. (Usage- The pennyweight is the common weight used in the valuation and measurement of precious metals. Jewellers use the pennyweight in calculating the amount and cost of precious metals used in fabricating or casting jewellery. Similarly, dentists and dental labs still use the pennyweight as the measure of precious metals in dental crowns and inlays.)
P1	Percent	
62	Percent Per 1000 Hour	
60	Percent Weight	
IE	Person	
C68	Petajoule	
Q30	pH (potential of Hydrogen)	
C69	Phon	
R1	Pica	
C70	Picoampere	
C71	Picocoulomb	
4T	Picofarad	
C72	Picofarad Per Metre	
C73	Picohenry	
Q33	Picolitre	Picolitre- Picoliter is the metric unit of volume equal to a trillionth (one millionth of a millionth) of a liter, which can be represented numerically as 0.000000000001/liter. just as the prefix nano denotes a billionth part.
C52	Picometre	Picometre- a trillionth of a metre (10 to the negative 12th power)
C75	Picowatt	Picowatt is a derived metric SI (System International) measurement unit of power.The picowatt is equal to one trillionth of a watt (10-12W).
C76	Picowatt Per Square Metre	
H87	Piece	A unit of count defining the number of pieces (piece: a single item, article or exemplar).
PCE	Piece	
PTI	Pint (UK)	A pint (UK) is equal to 1/8 Gallon (UK); used primarly as a measure for beer and cider when sold by the glass.
PT	Pint (Us)	
PI	Pitch	
E37	Pixel	A unit of count defining the number of pixels (pixel: picture element).
X_PPC	Pixel per centimetre	
X_PPI	Pixel per inch	
PFU	Plaque Forming unit(s)	
PG	Plate	
PNT	Point	
89	Poise	
PTN	Portion	Portion
PRS	Potential Renal Solute Load	
LBR	Pound	The international avoirdupois pound of exactly 0.45359237 kilogram.
PE	Pound Equivalent	
C77	Pound Gage	
D96	Pound Gross	
PN	Pound Net	
NY	Pound Per Air Dry Metric Ton	
87	Pound Per Cubic Foot	
LA	Pound Per Cubic Inch	
P2	Pound Per Foot	
GE	Pound Per Gallon (Us)	
4U	Pound Per Hour	
PO	Pound Per Inch Of Length	
PW	Pound Per Inch Of Width	
3G	Pound Per Piece Of Product	
3E	Pound Per Pound Of Product	
RP	Pound Per Ream	
FP	Pound per square foot	A non SI unit of Pressure approximately equal to 47.88025 PASCAL's.
80	Pound per square inch - Absolute	Psia (pound-force per square inch absolute)is a unit of pressure pressure relative to a vacuum (such as that in space).At sea level, Earth's atmosphere actually exerts a pressure of 14.7 psi. Humans do not feel this pressure because internal pressure of liquid in their bodies matches the external pressure. If a pressure gauge is calibrated to read zero in space, then at sea level on Earth it would read 14.7 psi. Thus a reading of 30 psig, on Earth, on a tire gauge represents an absolute pressure of 44.7 psi (lb/in2).
64	Pound per square inch - Gauge	Psig (pound-force per square inch gauge) is a unit of pressure relative to the surrounding atmosphere. At sea level, Earth's atmosphere actually exerts a pressure of 14.7 psi. Humans do not feel this pressure because internal pressure of liquid in their bodies matches the external pressure. If a pressure gauge is calibrated to read zero in space, then at sea level on Earth it would read 14.7 psi. Thus a reading of 30 psig, on Earth, on a tire gauge represents an absolute pressure of 44.7 psi (lb/in2).
29	Pound Per Thousand Square Feet	
PM	Pound Percentage	
C78	Pound-Force	
PS	Pound-force per square inch	The pound-force per square inch (symbol: psi or lbf/in2 or lbf/in2) is a unit of pressure or of stress based on avoirdupois units. It is the pressure resulting from a force of one pound-force applied to an area of one square inch. Other abbreviations are used that append a modifier to "psi". However, the US National Institute of Standards and Technology recommends that, to avoid confusion, any modifiers be instead applied to the quantity being measured rather than the unit of measure[1] For example, "Pg = 100 psi" rather than "P = 100 psig".
5F	Pounds Per Thousand	
AW	Powder Filled Vial	
N3	Print Point	
PGL	Proof Gallon	
QTI	Proof Gallon	
5G	Pump	
QTD	Pump	
QTI	Quart (Uk)	
QTD	Quart (US dry)	A US dry quart is equal to 1/32 of a US bushel, exactly 1.101220942715 litres.
QT	Quart (Us)	
QAN	Quarter (Of A Year)	
QTR	Quarter (Uk)	
QD	Quarter Dozen	
QH	Quarter Hour	
QK	Quarter Kilogram	
1X	Quarter Mile	
QR	Quire	
RA	Rack	
C80	Rad	
C81	Radian	
C82	Radian Meter Squared Per Mole	
C83	Radian Metre Squared Per Kilogram	
C84	Radian Per Metre	
2A	Radian Per Second	
2B	Radian Per Second Squared	
A9	Rate	
13	Ration	
RM	Ream	
RN	Ream Metric Measure	
C85	Reciprocal †Ngstr"M	
C86	Reciprocal Cubic Metre	
C87	Reciprocal Cubic Metre Per Second	
C88	Reciprocal Electron Volt Per Cubic Metre	
C89	Reciprocal Henry	
C90	Reciprocal Joule Per Cubic Metre	
C91	Reciprocal Kelvin Or Kelvin To The Power Minus One	
C92	Reciprocal Metre	
B81	Reciprocal Metre Squared Reciprocal Second	
C94	Reciprocal Minute	
C95	Reciprocal Mole	
C96	Reciprocal Pascal Or Pascal To The Power Minus One	
C97	Reciprocal Second	
C98	Reciprocal Second Per Cubic Metre	
C99	Reciprocal Second Per Metre Squared	
D1	Reciprocal Second Per Steradian	
D2	Reciprocal Second Per Steradian Metre Squared	
C93	Reciprocal Square Metre	
RL	Reel	
D91	Rem	
RS	Reset	
XRE	Retinol Equivalent (RE)	A unit used for quantifying the vitamin A value of sources of vitamin A, including both preformed retinoids and precursor carotenoids.
RT	Revenue Ton Mile	
RPM	Revolutions Per Minute	
RPS	Revolutions Per Second	
RG	Ring	
RD	Rod	
RO	Roll	A unit of count defining the number of rolls” where “Roll” is the name of the code value in UN/ECE Recommendation 21, pluralized as appropriate.
RK	Roll Metric Measure	
2C	Röntgen	
D6	Röntgen Per Second	
D65	Round	
RU	Run	
RH	Running Or Operating Hour	
SA	Sack	
X_SPS	Sample per second	
D7	Sandwich	
90	Saybold Universal Second	
SCO	Score	
SCR	Scruple	
D62	Second	
SEC	Second (unit of time)	
D93	Second Per Cubic Metre	
D94	Second Per Radian Cubic Metre	
SE	Section	
SG	Segment	
5P	Seismic Level	
5Q	Seismic Line	
X_SER	Serving	A unit of count defining the number of servings being referenced. There is a validation limiting the usage of this UoM.
S6	Session	
SET	Set	A unit of count defining the number of sets (set: a number of objects grouped together).
P7	Seven Pack	
ST	Sheet	A unit of count defining the number of “Sheets” where “Sheet” is the name of the code value in UN/ECE Recommendation 21, pluralized as appropriate.
SS	Sheet Metric Measure	
SP	Shelf Package	
SX	Shipment	A unit of count defining the number of shipments (shipment: an amount of goods shipped or transported).
SHT	Shipping Ton	
SST	Short Standard (7200 Matches)	
14	Shot	
SIE	Siemens	
D10	Siemens Per Metre	
D12	Siemens Square Metre Per Mole	
D13	Sievert	
56	Sitas	
P6	Six Pack	
S5	Sixty Fourths Of An Inch	
FJ	Sizing Factor	
SW	Skein	
SV	Skid	
D99	Sleeve	
SL	Slipsheet	
4	Small Spray	
SD	Solid Pound	
D15	Sone	
SK	Split Tanktruck	
SO	Spool	
SQE	SQ-E	
SQ	Square	
CMK	Square centimetre	A square centimetre is an area of a square whose sides are exactly 1 centimetre in length.
D16	Square Centimetre Per Erg	
D17	Square Centimetre Per Steradian Erg	
DMK	Square decimetre	A square decimetre is an area of a square whose sides are exactly 1 decimetre in length.
FTK	Square foot	A square foot is an area of a square whose sides are exactly 1 foot in length.
S3	Square Foot Per Second	A square inch is an area of a square whose sides are exactly 1 inch in length.
INK	Square inch	A square metre is an area of a square whose sides are exactly 1 metre in length.
KMK	Square Kilometre	
MTK	Square metre	A square metre is an area of a square whose sides are exactly 1 metre in length.
D19	Square metre kelvin per watt	
D20	Square Metre Per Joule	
D21	Square Metre Per Kilogram	
D22	Square Metre Per Mole	
S4	Square Metre Per Second	Metre squared per second.
D24	Square Metre Per Steradian	
D25	Square Metre Per Steradian Joule	
D26	Square Metre Per Volt Second	Square metre kelvin per watt .The definition is the thermal resistance (or Rd value) of the material, which is measured by the thickness of the material layer divided by the thermal conductivity of the material. and is expressed in m²K/W.
MIK	Square mile	A square mile is an area of a square whose sides are exactly 1 mile in length.
MMK	Square millimetre	A square millimetre is an area of a square whose sides are exactly 1 millimetre in
SN	Square Rod	
YDK	Square Yard	A square yard is the area of a square with sides of one yard (three feet, thirty-six inches, 0.9144 metres) in length
5H	Stage	
WSD	Standard	
S8	Standard Advertising Unit	
ATM	Standard Atmosphere	
5I	Standard Cubic Foot	
D27	Steradian	
15	Stick	
91	Stokes	
STI	Stone (Uk)	
S7	Storage Unit	
SR	Strip	
43	Super Bulk Bag	
AR	Suppository	
D28	Syphon	
G24	Tablespoon	Tablespoon. 1/2 fluid ounces, 3 teaspoons, 15 millilitres
U2	Tablet	A unit of count defining the number of tablets (tablet: a small flat or compressed solid object).
19	Tank Truck	
TY	Tank, Cylindrical	
TK	Tank, Rectangular	
G25	Teaspoon	1/6 fluid ounces or 5 millilitres
ATT	Technical Atmosphere	Technical Atmosphere
TPI	Teeth Per Inch	Teeth Per Inch
T0	Telecommunication Line In Service	
UB	Telecommunication Line In Service Average	
UC	Telecommunication Port	
DAD	Ten Day	
97	Ten Kg Drum	
TP	Ten Pack	
TPR	Ten Pair	
TR	Ten Square Feet	
TF	Ten Square Yard	
96	Ten Thousand Gallon (Us) Tankcar	
UH	Ten Thousand Yard	
YT	Ten Yard	
UE	Tenth Hour	
UD	Tenth Minute	
E35	Terabyte	
D29	Terahertz	
D30	Terajoule	
D31	Terawatt	
D32	Terawatt hour	
D33	Tesla	
69	Test Specific Scale	
D34	Tex	
KO	The milliequivalence caustic potash per gram of product	
53	Theoretical Kilograms	
24	Theoretical Pound	
27	Theoretical Ton	
54	Theoretical Tonne	
TD	Therm	
D35	Thermochemical Calorie	
B36	Thermochemical Calorie Per Gram	
D37	Thermochemical Calorie Per Gram Kelvin	
D38	Thermochemical Calorie Per Second Centimetre Kelvin	
D39	Thermochemical Calorie Per Second Square Centimetre Kelvin	
MIL	Thousand	
T4	Thousand Bag	
MBF	Thousand Board Feet	
T5	Thousand Casing	
FC	Thousand Cubic Feet	
F1	Thousand Cubic Feet Per Day	
R9	Thousand Cubic Metre	Thousand cubic metre
TQD	Thousand Cubic Metre Per Day	
TQ	Thousand Feet	
TL	Thousand Feet (Linear)	
T6	Thousand Gallon (Us)	
T7	Thousand Impression	
TV	Thousand Kilogram	
T8	Thousand Linear Inch	
TT	Thousand Linear Metre	
D14	Thousand Linear Yard	
D40	Thousand Litre	References SI system of units of measure
MQ	Thousand Metre	
T3	Thousand Piece	Thousand piece
T1	Thousand Pound Gross	
KS	Thousand Pound Per Square Inch	
TW	Thousand Sheet	
TJ	Thousand Square Centimeter	
TS	Thousand Square Feet	
TI	Thousand Square Inch	
MBE	Thousand Standard Brick Equivalent	
P3	Three Pack	
45	Threehundred Kg Bulk Bag	
TN	Tin	
LTN	Ton (UK) or long ton (US)	Ton (UK) = 1016 Kg or 2240 Lb.
STN	Ton (US) or short ton (UK)	Ton (US) = 2000 Lb or 907 Kg
1J	Ton Mile	
TSH	Ton Of Steam Per Hour	
4W	Ton(Us) Per Hour	
TNE	Tonne	Metric ton = 1000 Kg
TSD	Tonne Of Substance 90 % Dry	
D41	Tonne Per Cubic Metre	
UA	Torr	Torr
1L	Total Car Count	
1M	Total Car Mile	
TE	Tote	
FE	Track Foot	
E3	Trailer	
NN	Train	
1F	Train Mile	
FG	Transdermal Patch	
PU	Tray / Tray Pack	
U1	Treatment	
TRL	Trillion (Eur)	
BIL	Trillion (Us) (Note Bil = Billion In Uk)	
D42	Tropical Year	
APZ	Troy ounce or apothecary ounce	The troy ounce is a unit of imperial measure. In the present day it is most commonly used to gauge the weight and therefore the price of precious metals. One troy ounce equals 480 grains or 31.1035 grams.
LBT	Troy Pound (Us)	
TC	Truckload	
TU	Tube	
20	Twenty Foot Container	
4E	Twenty Pack	
95	Twenty Thousand Gallon (Us) Tankcar	
OP	Two Pack	
W4	Two Week	
G2	Us Gallon Per Minute	
UF	Usage Per Telecommunication Line Average	
E55	Use	A unit of count defining the number of times an object is used.
D44	Var	
NV	Vehicle	
VI	Vial	
VS	Visit	
VLT	Volt	
D46	Volt - Ampere	
VA	Volt Ampere Per Kilogram	
71	Volt Ampere Per Pound	
D47	Volt Per Centimetre	
D48	Volt Per Kelvin	
D50	Volt Per Metre	
D51	Volt Per Millimetre	
D45	Volt Squared Per Kelvin Squared	
WTT	Watt	A watt is a derived unit of power; one watt is equivalent to 1 joule (J) of energy per second.
WHR	Watt hour	The watt-hour is a unit of energy equivalent to one watt of power expended for one hour of time; it is equal to 3.6 kilojoules. The watt-hour is rarely used to express energy in any form other than electrical.
D52	Watt Per Kelvin	
WA	Watt Per Kilogram	
D53	Watt Per Metre Kelvin	
72	Watt Per Pound	
D54	Watt Per Square Metre	
D56	Watt Per Square Metre Kelvin To The Fourth Power	
D57	Watt Per Steradian	
D58	Watt Per Steradian Square Metre	
WEB	Weber	
D59	Weber Per Metre	
D60	Weber Per Millimetre	
WEE	Week	
WI	Weight Per Square Inch	
W2	Wet Kilo	
WB	Wet Pound	
WE	Wet Ton	
WH	Wheel	
WG	Wine Gallon	
WM	Working Month	
WR	Wrap	
YRD	Yard	A yard is equal to 3 feet or 36 inches or 0.9144 meter.
ANN	Year	
